category	es	us	meaning	example
Expressions	A backhanded compliment	Un insulto disfrazado como un cumplido	Un cumplido del atrás de la mano	His BC was mean.
Expressions	A backseat driver	Un pasajero que da consejos fastidiosos al conductor		
Expressions	A bag of tricks	Colección de métodos para conseguir una meta	 Funda de trucos	 Every English teacher has a big bag of tricks.
Expressions	A balancing act	"Hacer malabares" / Una situación difícil en la que tienes que lograr varias cosas a la vez	B = equilibrio	 Life is a balancing act.
Expressions	A ballpark figure (del #Béisbol)	Un cálculo aproximado		He gave me a ballpark figure of the price of his car.
Expressions	A big fish in a small pond	Alguien importante en un ambiente pequeño		
Expressions	A bird's-eye view	Visión general de algo	 Vista de ojo de pájaro	 The summary gives a bird's-eye view of the book.
Expressions	A blank check		 Un cheque en blanco	Dar autoridad para hacer lo que sea en negociaciones
Expressions	A blessing in disguise	Algo q' parece ser malo pero en realidad es bueno	Bendición disfrazada	It seems bad but it could be a BID
Expressions	A bombshell	Un anuncio inesperado	 Una bomba	 The news of their engagement was a bombshell.
Expressions	A blind date	Cita a ciegas		Una cita romántica entre 2 personas que no se conocen
Expressions	A brick wall	Un obstáculo	 Una pared de ladrillo	The negotiations have run into a brick wall and we don't know how to restart.
Expressions	A brown-nose	Alguien que es muy atento con los profesores (u otros) para obtener algo / "Cepillo"	 Una nariz marrón	
Expressions	A buck	un dólar		 I wouldn't do that if you paid me a thousand bucks!
Expressions	A bull in a china shop	Una persona que rompe muchas cosas o fastidia la gente	 Un toro en una tienda de porcelana	
Expressions	A change for the better	Un cambio positivo		 Eating fruit for breakfast is a change for the better.
Expressions	A cold fish	Una persona no muy amigable	 Un pescado frío.	It is hard to be her friend; she's a CF.
Expressions	A couch potato	Una persona perezosa	 Quien pasa el día en el sofá viendo la tele	
Expressions	A creature of habit	Alguien que prefiere la rutina		 I am a COH. Every Sunday at 9am, I make my coffee and read the newspaper.
Expressions	A cup of joe	Una taza de café	 Una taza de José.	 Every morning I have a cup of joe. Morning, Ecuador!
Expressions	A dark horse	Quien no tiene casi ninguna oportunidad de ganar. Pero, a veces gana!	 Un caballo oscuro	
Expressions	A dead ringer	Alguien que parece identico a otra persona		 My sister is a dead ringer for Selena Gomez.
Expressions	A dime a dozen	Muy común		A dime = 10 centavos
Expressions	A doozy (palabra muy coloquial)	Algo excepcional		 This storm is a real doozy.
Expressions	A double date	Cita doble		Cuando dos parejas salen juntas
Expressions	A dry run	Una práctica antes de un evento	 Una corrida seca	 Jamie and I did a dry run before our presentation
Expressions	A fence sitter	Indeciso	 Alguien que está sentado encima de una cerca.	 He needs to make up his mind and not be a FS.
Expressions	A far cry from	Algo muy diferente de / muy lejos de conseguirse	 Un grito muy lejos de	 Saying that is a far cry from doing it.
Expressions	A flash in the pan	Una flor de un día	 Un resplandor en el sartén	
Expressions	A full court press	Máximo esfuerzo	 Empujón	To meet our goal we need a FCP from the whole team.
Expressions	A full ride	Una beca completa	 Un paseo completo	 Your child can go to #university on a full ride in the US.
Expressions	A golden oldie	Una buena, vieja canción	 Un viejo dorado	Even some young people love to listen to golden oldies.
Expressions	A good egg	Ser una buena persona		I really like Ed; he's a good egg.
Expressions	A greasy spoon	Un restaurante muy barato	 Una cuchara grasiento (sucio)	
Expressions	A half-baked idea	Una idea que no está completamente desarrollada (peyorativo)	 medio-horneado	His business plan is half-baked
Expressions	A hand-me-down	Ropa usada heredada de un hermano/a mayor		 The youngest child always wears hand-me-downs.
Expressions	A happy medium	Punto de equilibrio, un plan de acción que no llega a los extremos.		We need to reach a happy medium on which we can agree.
Expressions	A head start	Una posición de empezar antes de la competición	 Estar pesado en mis pensamientos	 I am so sure that I will beat you that I'll give you a head start.
Expressions	A hop, skip and a jump	Una corta distancia	 Un salto, una cabriola y un brinco	I live just a hop, skip and a jump from here.
