category	es	us
Por-Para	día por día	day by day
Por-Para	está para llover	it's about to rain
Por-Para	está por llegar	still has not arrived
Por-Para	hablar por alguien	to speak on behalf of someone
Por-Para	palabra por palabra	word by word
Por-Para	para entonces	by then
Por-Para	para otra vez	for another occasion
Por-Para	para que	so that, in order that
Por-Para	para siempre	forever
Por-Para	para variar	just for a change
Por-Para	por adelantado	in advance
Por-Para	por ahora	for now
Por-Para	por allí	around there
Por-Para	por amor de Dios	for the love of God
Por-Para	por aquel entonces	around that time
Por-Para	por aquí	around here, this way
Por-Para	por casualidad	by chance
Por-Para	por ciento	percent
Por-Para	por cierto	by the way
Por-Para	por completo	completely
Por-Para	por consecuencia	as a result
Por-Para	por culpa de	because of
Por-Para	por desgracia	unfortunately
Por-Para	por díficil que sea	as hard as it might be
Por-Para	por ejemplo	for example
Por-Para	por escrito	in writing
Por-Para	por eso	therefore, that is why
Por-Para	por favor	please
Por-Para	por fin	finally
Por-Para	por fuera	outside
Por-Para	por la mañana	in the morning
Por-Para	por la noche	at night
Por-Para	por la tarde	in the afternoon
Por-Para	por las buenas	amicably
Por-Para	por lo común	usually
Por-Para	por lo demás	as for the rest
Por-Para	por lo general	generally
Por-Para	por lo menos	at least
Por-Para	por lo que a mí me toca	as far as I am concerned
Por-Para	por lo que dicen	from what they say
Por-Para	por lo tanto	therefore
Por-Para	por lo visto	apparently
Por-Para	por medio de	by means of
Por-Para	por motivo de	due to
Por-Para	por ningún lado	nowhere
Por-Para	por otra parte	on the other hand
Por-Para	por otro lado	on the other hand
Por-Para	por poco	nearly
Por-Para	por primera vez	for the first time
Por-Para	por separado	separately
Por-Para	por si acaso	just in case
Por-Para	por su propio mano	by one's own hand
Por-Para	por suerte	fortunately
Por-Para	por supuesto	of course
Por-Para	por todas partes	everywhere
Por-Para	por todos lados	on all sides
Por-Para	por último	finally
Por-Para	por un lado	on one hand
Por-Para	por una parte	on one hand
Por-Para	una vez por todas	once and for all
Por-Para	por las malas	by force, the hard way
Por-Para	por si las moscas	just in case
Por-Para	¡Por Dios!	For God's sake
Por-Para	¡Por el amor de Dios!	For the love of God
Por-Para	por algo	there is a reason why
Por-Para	por última vez	for the last time
Por-Para	para lo que vale	for what it's worth
Por-Para	para nada	not at all
Por-Para	para no volver	never to come back
Por-Para	no ser para tanto	not such a big deal
Por-Para	¿para qué?	What for?
Por-Para	para eso	for that
Por-Para	para chuparse los dedos	it's finger licking good
Por-Para	por cuenta de la casa	it's on the house
Por-Para	para que no te olvides	so you don't forget
Por-Para	para mi desgracia	much to my dismay
Por-Para	para ir tirando	to get by
Por-Para	por los pelos	by the skin of our teeth
Por-Para	¡A por ellos!	(go) get them
Por-Para	por mucho que	however much
Por-Para	por los cuatro costados	through and through
Por-Para	por lo mismo	for the same reason
Por-Para	tal para cual	two of a kind
Por-Para	por la boca muere el pez	silence is golden
Por-Para	por lo pronto	for now
Por-Para	dar por descontado	take for granted
Por-Para	para colmo	to top it all off
Por-Para	para terminar	to sum up
Por-Para	para que lo sepas	just so you know
Por-Para	por interés propio	out of self interest
Por-Para	para toda la vida	forever/for all of my live
Por-Para	por fuerza	by force
Por-Para	mirar por encima del hombro	look down on someone, patronize someone
Por-Para	como Pedro por su casa	like he owned the place
Por-Para	para colmo de desgracias	to make matters worse
Por-Para	por poco dinero	for a small sum
