category	es	us	meaning	example
Verbs	To acquire a taste for something	Cuando algo empieza a agradarle o gustarle a una persona		I have acquired a taste for expensive shoes
Verbs	To add fuel to the fire	Aumentar la intensidad	 Agregar combustible al fuego	
Verbs	To add up	Tener sentido o lógica.	 Sumarse / cuadrar	 I don't understand why he did that. It just doesn’t add up.
Verbs	To agree to disagree	Aceptar que dos personas tienen dos opiniones diferentes		 Let's stop arguing and agree to disagree.
Verbs	To ask around	Preguntar a varias personas	 Preguntar alrededor	 I asked around if anyone had seen Tom today.
Verbs	To ask someone out	Invitar a alguien a salir.		 Maria asked Joe out on a date and they've been going steady ever since.
Verbs	To avoid X like the plague	Evitar X completamente		Since they broke up, Maria has been avoiding Joe LTP.
Verbs	To back (someone) up	Apoyar a alguien		When we were kids, my brother always backed me up in tough situations.
Verbs	To be a bundle of nerves	Estar muy nervioso	 Ser un paquete de nervios	The applicant was a bundle of nerves in the interview.
Verbs	To be a Good Samaritan	Ayudar a otros		
Verbs	To be a hard pill to swallow	Algo difícil de aceptar	 Una pastilla difícil de tragar	 My poor test grade was a hard pill TS.
Verbs	To be a sore loser	Alguien que no acepta bien la derrota		Peter won't stop crying
Verbs	To be a tearjerker	Algo disenado a hacer llorar.	 Lo que tira lágrimas.	 That sad movie was a real tearjerker.
Verbs	To be a whale of a (something)	Ser algo grande, de gran diversión	 Whale = ballena	
Verbs	To be absent-minded	Estar despistado, temporalmente o habitualmente		I am so absent-minded
Verbs	To be all-ears	Escuchar atentivamente	 Ser todo oídos	 The students were all-ears as the teacher spoke.
Verbs	To be an old hand at something	Ser experto en	 Ser una vieja mano	 He's an old hand at sailing
Verbs	To be an only child	Ser un hijo unico	Ser solamente un niño	To be only a child
Verbs	To be as clean as a whistle	Estar extremadamente limpio		 The house is as clean as a whistle.
Verbs	To be beside the point	No venir al caso / ser irrelevante		 The fact that he wants to work there is beside the point
Verbs	To be crystal clear	Para estar claros / Claro como el cristal		To be crystal clear, we should not take the company's offer under any terms.
Verbs	To be cut from the same cloth	Cortado con la misma tijera	 Estar cortados de la misma tela.	They are so alike, they must be...
Verbs	To be dead set against X	Estar completamente en contra de X		I am dead set against using animal fur.
Verbs	To be even	Haber pagado una deuda o un mal uno al otro		
Verbs	To be expecting	Estar embarazada	 Estar esperando	 We were so happy to find out that Jessica is expecting.
Verbs	To be fit as a fiddle	Estar con buena salud / Estar en forma		(Fiddle es el nombre para el violin cuando esta usado para tocar musica folklorica.)
Verbs	To be fresh as a daisy	Enérgico y animado		 After my nap, I felt as FAAD
Verbs	To be head over heels in love	Estar locamente, completamente enamorado/a. 	 Estar cabeza sobre talones	
Verbs	To be hooked on X	Ser adicto a X	 He's hooked on cocaine.	Fig. The kids are hooked on baseball. I'm hooked on quilting.
Verbs	To be in hot water	Tener problemas	 Estar en agua caliente	 I was in hot water with my Mom after I ruined her shirt.
Verbs	To be in charge of	Estar a cargo de		 He is in charge of marketing for the company.
Verbs	To be in great demand	Estar querido/pedido por mucha gente		 Ecuadorian chocolate is in great demand.
Verbs	To be like a kid in a candy store	Estar como niño con juguete nuevo	 Estar como un niño en una tienda de dulces.	Estar muy, muy feliz.
Verbs	To be out of the question	Estar fuera de discusión		 It is out of the question for your child to drive a car at age 14
Verbs	To be out of the woods	Estar fuera de peligro	 Haber salido del bosque	
Verbs	To be in over one's head	Tratarse de algo demasiado difícil para la persona / Algo que no se entiende		I am in over my head in this science class.
Verbs	To be in the dog house	Haber caído en desgracia.		Diego is in the dog house with Ana for forgetting her birthday.
Verbs	To be in the same boat	Estar en la misma situación difícil / Estar en el mismo barco		 Joe & I are in the same boat
Verbs	To be jam-packed	Estar llenísimo / No caber ni un alfiler		 The club was jam-packed and stopped allowing people in.
Verbs	To be joined at the hip	Estar siempre juntos		 Mary and her best friend, Jane, were joined at the hip.
Verbs	To be kitty corner from X	Estar diagonalmente opuesto		My house is kitty corner from the ice cream store.
Verbs	To be looking forward to X	Estar esperando con interés / con ansias.		 I am really looking forward to going to Miami this summer!
Verbs	To be neck and neck	Estar en las mismas condiciones en una competencia / tener las mismas posibilidades		 We are neck and neck in the weight loss competition
Verbs	To be no match for	No estar a la altura de alguien / no ajustarse a algo		 He's no match for the other boxer. He ought to go home!
Verbs	To be of one mind	Estar de acuerdo	 Ser de una sola mente	Regarding the project, we are of one mind on the conditions.
Verbs	To be of two minds	Estar indeciso, ver ambos lados de algo	 Ser de dos cerebros	 I am of two minds on capital punishment.
Verbs	To be off your rocker	Estar loco		 My accountant is off his rocker
Verbs	To be on pins (alfileres) and needles (agujas)	Estar esperando algo ansiosamente / estar en ascuas		 I was on P+N waiting to hear if I got the job.
Verbs	To be on the ball	"Ser una persona ""despierta"", pendiente de todos los detalles"		She's so on the ball with everything
Verbs	To be on the same page	Estar de acuerdo con alguien	Estar en la misma página	 My boss &I agree on our strategy, we're OTSP.
Verbs	To be on track		 Estar en el carril.	The project is on track.
Verbs	To be on your best behavior	Comportarte lo mejor posible		If the children want to go to the movies, they have to be on their best...
Verbs	To be out in left field	Estar afuera de lo normal o lo aceptado (del #béisbol)		 I don't know where he gets his ideas. He's OILF.
Verbs	To be out of the woods	Estar fuera de peligro	 Haber salido del bosque	The patient is OOTW.
Verbs	To be out of touch	No estar en contacto (con alguien)	 Estar afuera de contacto	 I am out of touch with my childhood friends.
Verbs	To be running late	Estar con retraso	 Estar corriendo tarde	I normally tweet at 7a.m. but I'm running late!
Verbs	To be short-tempered	Tener mal humor / tener pocas pulgas	 Estar mal genio	He is so short-tempered that he is always having arguments.
Verbs	To be the apple of someone's eye	Ser el favorito		 My sister is the apple of my Dad's eyes.
Verbs	To be thick-skinned	Ser insensible		 He doesn't get upset easily
Verbs	To be under age	Tener menos de la edad legal, generalmente para beber alcohol.		"(The ""legal age"" in the US is 21.)"
Verbs	To be under the weather	Estar enfermo	 Estar debajo del tiempo	I'm feeling a little under the weather.
Verbs	To be up to here (with)	Estar hasta la coronilla	 Estar hasta aquí	 Son, I am up to here with you not doing your homework.
Verbs	To be up a creek without a paddle	Estar en 1 situación sin esperanza	 Estar en 1 riachuelo sin 1 paleta	
Verbs	To be up to your neck in	"Tener mucho trabajo / ""estar hasta el cuello"""		 I am up to my neck in work.
Verbs	To be way off	Estar muy equivocado / estar lejos de lo cierto.		 Your calculations are way off. Let's check your math to see where the error is.
Verbs	To be worn out	Estar agotado / gastado.		 I worked all day and am worn out! - OR - The car is old and worn out. I need a new one.
Verbs		To be worth your while		 That guy isn't worth your while.
Verbs	To be worn out	Estar gastado (cosas) These tires are worn out.		Estar agotado, cansado (gente) I worked all day & am all worn out!
Verbs	To be young at heart	Comportarse joven, aun si uno es viejo		 My grandma is YAH
Verbs	To beat someone to the punch	Hacer algo antes de que otro lo haga		 I wanted the last cookie but Sara beat me to the punch.
Verbs	To beat the rap	Quedar impune.		 There was clear evidence that he committed the crime, but he beat the rap and got off scot-free.
Verbs	To beat around the bush	Andarse con rodeos / irse por las ramas		 Don't beat around the bush
Verbs	To bend over backwards	Hacer todo lo posible por ayudar		 He bent over backwards to make the deal work.
Verbs	To bend someone's ear	Hablar demasiado / aburrir	 Doblar la oreja a alguien	 I stay away from Melody
Verbs	To bite off more than one can chew	Abarcar más de lo que se puede hacer	 Comer más de lo que uno puede masticar	
Verbs	To bite the bullet	Aceptar algo difícil		 I finally decided to bite the bullet and go on a diet.
Verbs	To bite the dust	Morir		
Verbs	To bite your tongue	Callarse	 Morder tu lengua	 Instead of saying what came to mind, I bit my tongue.
Verbs	To black out	Desmayarse		 He hadn't eaten all day so he blacked out.
Verbs	To blind-side someone	Pegar a alguien por donde no ve		Don't let your boss get blind-sided
Verbs	To blow a fuse = to blow a gasket	Enfadarse mucho	 Saltar un fusible o un gásquet	
Verbs	To blow out of proportion	Exagerar	 Inflar afuera de proporciones normales.	The argument was blown out of proportion.
Verbs	To blow someone's cover	Revelar la identidad secreta de alguien		 With my cover blown, I had to leave town.
Verbs	To book	Reservar	Yes, book = libro	 To book a room, a ticket, a table
Verbs	To blow one's own horn	Vanagloriarse	 Sonar su propio claxon	 Joe is always blowing his own horn about his accomplishments.
Verbs	To bluff	Fingir tener lo que no se tiene en póker o en negociaciones / engañar		 I have 3 aces (but really I don't)
